id,zone,latitude,longitude,date,time,Sample_size
158,38S,375769,4357893,28.10.2014,15:28,17
159,38S,376668,4359030,28.10.2014,20:25,1
160,38S,377427,4363869,28.10.2014,18:50,1
160,38S,377427,4363869,28.10.2014,21:25,1
161,38S,378147,4364126,30.05.2014,08:20,1
162,38S,378841,4371724,10.07.2014,09:20,1
162,38S,378841,4371724,10.07.2014,10:50,19
163,38S,380495,4338212,5.05.2014,10:20,1
164,38S,381466,4372472,10.07.2014,14:30,12
164,38S,381466,4372472,10.07.2014,15:30,1
164,38S,381466,4372472,10.07.2014,22:25,1
165,38S,382465,4371306,6.07.2014,23:20,1
166,38S,383694,4372587,11.07.2014,16:15,7
167,38S,383837,4372371,9.08.2014,11:00,1
167,38S,383837,4372371,9.08.2014,23:25,1
168,38S,383904,4372163,16.08.2014,00:25,1
169,38S,384616,4384133,17.05.2014,00:22,3
170,38S,384619,4373124,30.05.2014,01:22,1
171,38S,384884,4344527,5.05.2014,00:20,1
172,38S,385364,4373421,15.11.2014,01:25,1
173,38S,385949,4348133,5.10.2014,02:25,1
174,38S,386626,4344550,28.10.2014,11:20,1
175,38S,388073,4372705,28.10.2014,16:30,1
175,38S,388073,4372705,28.10.2014,03:25,1
176,38S,389683,4342405,29.10.2014,14:10,1
176,38S,389683,4342405,29.10.2014,17:30,1
176,38S,389683,4342405,29.10.2014,04:25,2
177,38S,391379,4370261,4.10.2014,01:20,1
178,38S,391750,4354617,28.10.2014,07:40,4
179,38S,391851,4358521,28.10.2014,18:30,1
180,38S,392120,4389320,12.07.2014,19:30,1
181,38S,392727,4357376,28.10.2014,15:10,1
181,38S,392727,4357376,23.05.2014,19:50,3
182,38S,392991,4350834,12.04.2014,05:25,1
183,38S,393189,4369087,28.10.2014,08:40,1
184,38S,393385,4390452,17.09.2014,09:40,14
185,38S,393472,4346379,23.05.2014,16:10,3
186,38S,408641,4379816,18.09.2014,07:30,1
186,38S,394019,4367417,4.05.2014,12:00,1
187,38S,396127,4387663,17.09.2014,18:15,1
188,38S,398080,4381261,9.07.2014,06:25,1
189,38S,408641,4379816,18.09.2014,20:30,1
190,38S,411308,4387935,17.09.2014,17:10,1
190,38S,411308,4387935,17.09.2014,07:25,1
191,38S,412519,4362491,2.06.2014,10:40,1
192,38S,412542,4377260,5.05.2014,08:25,1
193,38S,412614,4358143,1.06.2014,21:30,1
194,38S,413196,4365259,2.06.2014,09:25,1
195,38S,413196,4373768,1.06.2014,09:50,1
195,38S,413196,4373768,1.06.2014,22:30,1
196,38S,413316,4386832,17.09.2014,10:25,1
197,38S,413649,4375891,1.06.2014,11:25,1
198,38S,414157,4357016,1.06.2014,20:50,1
199,38S,414482,4371318,1.06.2014,12:25,1
200,38S,418514,4391131,14.11.2014,13:25,1
201,38S,419007,4383634,29.10.2014,19:15,1
201,38S,419761,4375856,9.08.2014,17:25,1
202,38S,421222,4376242,31.05.2014,09:25,1
203,38S,421941,4371764,31.05.2014,21:50,2
204,38S,422502,4370587,12.09.2014,18:10,1
205,38S,422502,4370587,12.09.2014,14:25,1
206,38S,423031,4394846,14.11.2014,10:25,1
207,38S,425140,4390076,13.09.2014,15:25,1
208,38S,425823,4373021,30.05.2014,22:50,2
209,38S,425849,4390187,13.09.2014,02:20,1
210,38S,430606,4378775,20.03.2014,12:20,1
210,38S,430606,4378775,20.03.2014,19:10,2
211,38S,433617,4376772,20.03.2014,13:20,2
212,38S,434049,4366205,3.10.2014,11:40,1
213,38S,434594,4366772,3.10.2014,10:15,1
214,38S,435127,4394722,27.10.2014,16:25,1
215,38S,435226,4372210,4.09.2014,12:40,1
216,38S,435825,4370527,27.10.2014,14:20,1
216,38S,435825,4370527,27.10.2014,23:50,1
217,38S,435827,4372693,27.10.2014,20:10,1
217,38S,435827,4372693,27.10.2014,03:22,1
218,38S,435835,4369583,4.09.2014,11:40,1
218,38S,435835,4369583,4.09.2014,17:25,1
219,38S,435976,4365985,12.10.2014,03:20,1
220,38S,436018,4372331,27.10.2014,21:10,1
221,38S,436075,4370573,12.10.2014,20:15,1
222,38S,443343,4400117,24.12.2014,21:15,1
223,38S,446446,4362902,12.04.2014,15:20,1
224,38S,447099,4363420,12.04.2014,18:25,1
225,38S,448011,4399946,24.12.2014,19:25,1
226,38S,448838,4374180,24.12.2014,04:22,1
227,38S,449497,4373035,24.12.2014,08:30,1
227,38S,449497,4373035,24.12.2014,04:20,1
228,38S,449648,4372490,13.09.2014,16:20,1
